Protein_1	Protein_2
msrA	Rv0785
msrA	Rv0786c
msrA	cfp29
msrA	Rv0801
msrA	purF
msrA	purM
msrA	Rv0813c
msrA	Rv0818
msrA	lpqS
msrA	Rv0849
msrA	moaD2
msrA	moaA2
msrA	Rv0879c
msrA	Rv0880
msrA	Rv0885
msrA	Rv0887c
msrA	citA
msrA	Rv0895
msrA	gltA2
msrA	accD3
msrA	Rv0910
msrA	pstC2
msrA	pstA1
msrA	mku
msrA	Rv0940c
msrA	Rv0954
msrA	rimJ
Rv0141c	Rv0143c
Rv0141c	Rv0145
Rv0141c	Rv0146
Rv0141c	Rv0147
Rv0141c	Rv0148
Rv0141c	ptbB
Rv0141c	Rv0161
Rv0141c	mce1C
Rv0141c	mce1D
Rv0141c	Rv0176
Rv0141c	Rv0183
Rv0141c	Rv0184
Rv0141c	Rv0185
Rv0141c	zmp1
Rv0141c	Rv0199
Rv0141c	Rv0200
Rv0141c	Rv0201c
Rv0141c	mmpL11
Rv0141c	Rv0204c
Rv0141c	mmpL3
Rv0141c	Rv0207c
Rv0141c	Rv0216
Rv0141c	Rv0219
Rv0141c	Rv0221
Rv0141c	Rv0223c
Rv0141c	Rv0224c
Rv0141c	Rv0225
Rv0141c	php
Rv0141c	Rv0232
Rv0141c	fabG4
Rv0141c	Rv0247c
Rv0141c	Rv0248c
Rv0141c	nirD
Rv0141c	aac
Rv0141c	Rv0263c
Rv0141c	fadD2
Rv0141c	fadE6
Rv0141c	Rv0273c
Rv0141c	Rv0276
Rv0141c	Rv0281
Rv0141c	eccA3
Rv0141c	eccC3
Rv0141c	esxG
Rv0141c	eccD3
Rv0141c	Rv0293c
Rv0141c	tam
Rv0141c	Rv0308
Rv0141c	Rv0310c
Rv0141c	Rv0314c
Rv0141c	cyp135A1
Rv0141c	Rv0333
Rv0141c	Rv0340
Rv0141c	Rv0369c
Rv0141c	Rv0371c
Rv0141c	Rv0373c
Rv0141c	Rv0377
Rv0141c	Rv0380c
Rv0141c	Rv0385
Rv0141c	Rv0398c
Rv0141c	pta
Rv0141c	ackA
Rv0141c	mutT3
Rv0141c	Rv0420c
Rv0141c	Rv0421c
Rv0141c	thiC
Rv0141c	Rv0434
Rv0141c	Rv0435c
Rv0141c	rskA
Rv0141c	sigK
Rv0141c	Rv0448c
Rv0141c	echA2
Rv0141c	Rv0458
Rv0141c	Rv0459
Rv0141c	Rv0460
Rv0141c	Rv0461
Rv0141c	Rv0463
Rv0141c	Rv0472c
Rv0141c	hbhA
Rv0141c	Rv0477
Rv0141c	Rv0479c
Rv0141c	Rv0480c
Rv0141c	Rv0484c
Rv0141c	senX3
Rv0141c	Rv0497
Rv0141c	hemC
Rv0141c	Rv0516c
Rv0141c	Rv0525
Rv0141c	Rv0535
Rv0141c	Rv0541c
Rv0141c	fadD8
Rv0141c	mgtA
Rv0141c	grcC1
Rv0141c	htpX
Rv0141c	Rv0566c
Rv0141c	cyp135B1
Rv0141c	Rv0575c
Rv0141c	Rv0576
Rv0141c	Rv0580c
Rv0141c	lpqN
Rv0141c	mce2C
Rv0141c	mce2D
Rv0141c	Rv0600c
Rv0141c	galK
Rv0141c	echA3
Rv0141c	nusG
Rv0141c	Rv0658c
Rv0141c	rpoB
Rv0141c	Rv0669c
Rv0141c	lpqP
Rv0141c	echA4
Rv0141c	Rv0686
Rv0141c	Rv0695
Rv0141c	Rv0697
Rv0141c	atsA
Rv0141c	Rv0712
Rv0141c	Rv0713
Rv0141c	Rv0725c
Rv0141c	Rv0726c
Rv0141c	fucA
Rv0141c	Rv0731c
Rv0141c	Rv0738
Rv0141c	mmsB
Rv0141c	Rv0756c
Rv0141c	Rv0791c
Rv0141c	Rv0825c
Rv0141c	kmtR
Rv0141c	Rv0830
Rv0141c	moaE2
Rv0141c	Rv0877
Rv0141c	Rv0893c
Rv0141c	Rv0909
Rv0141c	Rv0958
Rv0141c	Rv0965c
Rv0141c	accA2
Rv0141c	grcC2
Rv0143c	Rv0145
Rv0143c	Rv0146
Rv0143c	Rv0147
Rv0143c	Rv0148
Rv0143c	ptbB
Rv0143c	Rv0161
Rv0143c	mce1C
Rv0143c	mce1D
Rv0143c	Rv0176
Rv0143c	Rv0183
Rv0143c	Rv0184
Rv0143c	Rv0185
Rv0143c	zmp1
Rv0143c	Rv0199
Rv0143c	Rv0200
Rv0143c	Rv0201c
Rv0143c	mmpL11
Rv0143c	Rv0204c
Rv0143c	mmpL3
Rv0143c	Rv0207c
Rv0143c	Rv0216
Rv0143c	Rv0219
Rv0143c	Rv0221
Rv0143c	Rv0223c
Rv0143c	Rv0224c
Rv0143c	Rv0225
Rv0143c	php
Rv0143c	Rv0232
Rv0143c	fabG4
Rv0143c	Rv0247c
Rv0143c	Rv0248c
Rv0143c	nirD
Rv0143c	aac
Rv0143c	Rv0263c
Rv0143c	fadD2
Rv0143c	fadE6
Rv0143c	Rv0273c
Rv0143c	Rv0276
Rv0143c	Rv0281
Rv0143c	eccA3
Rv0143c	eccC3
Rv0143c	esxG
Rv0143c	eccD3
Rv0143c	Rv0293c
Rv0143c	tam
Rv0143c	Rv0308
Rv0143c	Rv0310c
Rv0143c	Rv0314c
Rv0143c	cyp135A1
Rv0143c	Rv0333
Rv0143c	Rv0340
Rv0143c	Rv0369c
Rv0143c	Rv0371c
Rv0143c	Rv0373c
Rv0143c	Rv0377
Rv0143c	Rv0380c
Rv0143c	Rv0385
Rv0143c	Rv0398c
Rv0143c	pta
Rv0143c	ackA
Rv0143c	mutT3
Rv0143c	Rv0420c
Rv0143c	Rv0421c
Rv0143c	thiC
Rv0143c	Rv0434
Rv0143c	Rv0435c
Rv0143c	rskA
Rv0143c	sigK
Rv0143c	Rv0448c
Rv0143c	echA2
Rv0143c	Rv0458
Rv0143c	Rv0459
Rv0143c	Rv0460
Rv0143c	Rv0461
Rv0143c	Rv0463
Rv0143c	Rv0472c
Rv0143c	hbhA
Rv0143c	Rv0477
Rv0143c	Rv0479c
Rv0143c	Rv0480c
Rv0143c	Rv0484c
Rv0143c	senX3
Rv0143c	Rv0497
Rv0143c	hemC
Rv0143c	Rv0516c
Rv0143c	Rv0525
Rv0143c	Rv0535
Rv0143c	Rv0541c
Rv0143c	fadD8
Rv0143c	mgtA
Rv0143c	grcC1
Rv0143c	htpX
Rv0143c	Rv0566c
Rv0143c	cyp135B1
Rv0143c	Rv0575c
Rv0143c	Rv0576
Rv0143c	Rv0580c
Rv0143c	lpqN
Rv0143c	mce2C
Rv0143c	mce2D
Rv0143c	Rv0600c
Rv0143c	galK
Rv0143c	echA3
Rv0143c	nusG
Rv0143c	Rv0658c
Rv0143c	rpoB
Rv0143c	Rv0669c
Rv0143c	lpqP
Rv0143c	echA4
Rv0143c	Rv0686
Rv0143c	Rv0695
Rv0143c	Rv0697
Rv0143c	atsA
Rv0143c	Rv0712
Rv0143c	Rv0713
Rv0143c	Rv0725c
Rv0143c	Rv0726c
Rv0143c	fucA
Rv0143c	Rv0731c
Rv0143c	Rv0738
Rv0143c	mmsB
Rv0143c	Rv0756c
Rv0143c	Rv0791c
Rv0143c	Rv0825c
Rv0143c	kmtR
Rv0143c	Rv0830
Rv0143c	moaE2
Rv0143c	Rv0877
Rv0143c	Rv0893c
Rv0143c	Rv0909
Rv0143c	Rv0958
Rv0143c	Rv0965c
Rv0143c	accA2
Rv0143c	grcC2
Rv0144	fadE2
Rv0144	Rv0158
Rv0144	yrbE1B
Rv0144	mce1F
Rv0144	Rv0238
Rv0144	Rv0250c
Rv0144	esxH
Rv0144	dcd
Rv0144	Rv0328
Rv0144	hspR
Rv0144	Rv0370c
Rv0144	Rv0383c
Rv0144	ndhA
Rv0144	mmpS1
Rv0144	mmpS4
Rv0144	Rv0481c
Rv0144	Rv0487
Rv0144	Rv0496
Rv0144	mmpS2
Rv0144	Rv0518
Rv0144	Rv0526
Rv0144	Rv0543c
Rv0144	Rv0559c
Rv0144	Rv0588
Rv0144	mce2F
Rv0144	mkl
Rv0144	mmpS5
Rv0144	Rv0680c
Rv0144	Rv0681
Rv0144	Rv0691c
Rv0144	rplC
Rv0144	rpmC
Rv0144	rplN
Rv0145	Rv0146
Rv0145	Rv0147
Rv0145	Rv0148
Rv0145	ptbB
Rv0145	Rv0161
Rv0145	mce1C
Rv0145	mce1D
Rv0145	Rv0176
Rv0145	Rv0183
Rv0145	Rv0184
Rv0145	Rv0185
Rv0145	zmp1
Rv0145	Rv0199
Rv0145	Rv0200
Rv0145	Rv0201c
Rv0145	mmpL11
Rv0145	Rv0204c
Rv0145	mmpL3
Rv0145	Rv0207c
Rv0145	Rv0216
Rv0145	Rv0219
Rv0145	Rv0221
Rv0145	Rv0223c
Rv0145	Rv0224c
Rv0145	Rv0225
Rv0145	php
Rv0145	Rv0232
Rv0145	fabG4
Rv0145	Rv0247c
Rv0145	Rv0248c
Rv0145	nirD
Rv0145	aac
Rv0145	Rv0263c
Rv0145	fadD2
Rv0145	fadE6
Rv0145	Rv0273c
Rv0145	Rv0276
Rv0145	Rv0281
Rv0145	eccA3
Rv0145	eccC3
Rv0145	esxG
Rv0145	eccD3
Rv0145	Rv0293c
Rv0145	tam
Rv0145	Rv0308
Rv0145	Rv0310c
Rv0145	Rv0314c
Rv0145	cyp135A1
Rv0145	Rv0333
Rv0145	Rv0340
Rv0145	Rv0369c
Rv0145	Rv0371c
Rv0145	Rv0373c
Rv0145	Rv0377
Rv0145	Rv0380c
Rv0145	Rv0385
Rv0145	Rv0398c
Rv0145	pta
Rv0145	ackA
Rv0145	mutT3
Rv0145	Rv0420c
Rv0145	Rv0421c
Rv0145	thiC
Rv0145	Rv0434
Rv0145	Rv0435c
Rv0145	rskA
Rv0145	sigK
Rv0145	Rv0448c
Rv0145	echA2
Rv0145	Rv0458
Rv0145	Rv0459
Rv0145	Rv0460
Rv0145	Rv0461
Rv0145	Rv0463
Rv0145	Rv0472c
Rv0145	hbhA
Rv0145	Rv0477
Rv0145	Rv0479c
Rv0145	Rv0480c
Rv0145	Rv0484c
Rv0145	senX3
Rv0145	Rv0497
Rv0145	hemC
Rv0145	Rv0516c
Rv0145	Rv0525
Rv0145	Rv0535
Rv0145	Rv0541c
Rv0145	fadD8
Rv0145	mgtA
Rv0145	grcC1
Rv0145	htpX
Rv0145	Rv0566c
Rv0145	cyp135B1
Rv0145	Rv0575c
Rv0145	Rv0576
Rv0145	Rv0580c
Rv0145	lpqN
Rv0145	mce2C
Rv0145	mce2D
Rv0145	Rv0600c
Rv0145	galK
Rv0145	echA3
Rv0145	nusG
Rv0145	Rv0658c
Rv0145	rpoB
Rv0145	Rv0669c
Rv0145	lpqP
Rv0145	echA4
Rv0145	Rv0686
Rv0145	Rv0695
Rv0145	Rv0697
Rv0145	atsA
Rv0145	Rv0712
Rv0145	Rv0713
Rv0145	Rv0725c
Rv0145	Rv0726c
Rv0145	fucA
Rv0145	Rv0731c
Rv0145	Rv0738
Rv0145	mmsB
Rv0145	Rv0756c
Rv0145	Rv0791c
Rv0145	Rv0825c
Rv0145	kmtR
Rv0145	Rv0830
Rv0145	moaE2
Rv0145	Rv0877
Rv0145	Rv0893c
Rv0145	Rv0909
Rv0145	Rv0958
Rv0145	Rv0965c
Rv0145	accA2
Rv0145	grcC2
Rv0146	Rv0147
Rv0146	Rv0148
Rv0146	ptbB
Rv0146	Rv0161
Rv0146	mce1C
Rv0146	mce1D
Rv0146	Rv0176
Rv0146	Rv0183
Rv0146	Rv0184
Rv0146	Rv0185
Rv0146	zmp1
Rv0146	Rv0199
Rv0146	Rv0200
Rv0146	Rv0201c
Rv0146	mmpL11
Rv0146	Rv0204c
Rv0146	mmpL3
Rv0146	Rv0207c
Rv0146	Rv0216
Rv0146	Rv0219
Rv0146	Rv0221
Rv0146	Rv0223c
Rv0146	Rv0224c
Rv0146	Rv0225
Rv0146	php
Rv0146	Rv0232
Rv0146	fabG4
Rv0146	Rv0247c
Rv0146	Rv0248c
Rv0146	nirD
Rv0146	aac
Rv0146	Rv0263c
Rv0146	fadD2
Rv0146	fadE6
Rv0146	Rv0273c
Rv0146	Rv0276
Rv0146	Rv0281
Rv0146	eccA3
Rv0146	eccC3
Rv0146	esxG
Rv0146	eccD3
Rv0146	Rv0293c
Rv0146	tam
Rv0146	Rv0308
Rv0146	Rv0310c
Rv0146	Rv0314c
Rv0146	cyp135A1
Rv0146	Rv0333
Rv0146	Rv0340
Rv0146	Rv0369c
Rv0146	Rv0371c
Rv0146	Rv0373c
Rv0146	Rv0377
Rv0146	Rv0380c
Rv0146	Rv0385
Rv0146	Rv0398c
Rv0146	pta
Rv0146	ackA
Rv0146	mutT3
Rv0146	Rv0420c
Rv0146	Rv0421c
Rv0146	thiC
Rv0146	Rv0434
Rv0146	Rv0435c
Rv0146	rskA
Rv0146	sigK
Rv0146	Rv0448c
Rv0146	echA2
Rv0146	Rv0458
Rv0146	Rv0459
Rv0146	Rv0460
Rv0146	Rv0461
Rv0146	Rv0463
Rv0146	Rv0472c
Rv0146	hbhA
Rv0146	Rv0477
Rv0146	Rv0479c
Rv0146	Rv0480c
Rv0146	Rv0484c
Rv0146	senX3
Rv0146	Rv0497
Rv0146	hemC
Rv0146	Rv0516c
Rv0146	Rv0525
Rv0146	Rv0535
Rv0146	Rv0541c
Rv0146	fadD8
Rv0146	mgtA
Rv0146	grcC1
Rv0146	htpX
Rv0146	Rv0566c
Rv0146	cyp135B1
Rv0146	Rv0575c
Rv0146	Rv0576
Rv0146	Rv0580c
Rv0146	lpqN
Rv0146	mce2C
Rv0146	mce2D
Rv0146	Rv0600c
Rv0146	galK
Rv0146	echA3
Rv0146	nusG
Rv0146	Rv0658c
Rv0146	rpoB
Rv0146	Rv0669c
Rv0146	lpqP
Rv0146	echA4
Rv0146	Rv0686
Rv0146	Rv0695
Rv0146	Rv0697
Rv0146	atsA
Rv0146	Rv0712
Rv0146	Rv0713
Rv0146	Rv0725c
Rv0146	Rv0726c
Rv0146	fucA
Rv0146	Rv0731c
Rv0146	Rv0738
Rv0146	mmsB
Rv0146	Rv0756c
Rv0146	Rv0791c
Rv0146	Rv0825c
Rv0146	kmtR
Rv0146	Rv0830
Rv0146	moaE2
Rv0146	Rv0877
Rv0146	Rv0893c
Rv0146	Rv0909
Rv0146	Rv0958
Rv0146	Rv0965c
Rv0146	accA2
Rv0146	grcC2
Rv0147	Rv0148
Rv0147	ptbB
Rv0147	Rv0161
Rv0147	mce1C
Rv0147	mce1D
Rv0147	Rv0176
Rv0147	Rv0183
Rv0147	Rv0184
Rv0147	Rv0185
Rv0147	zmp1
Rv0147	Rv0199
Rv0147	Rv0200
Rv0147	Rv0201c
Rv0147	mmpL11
Rv0147	Rv0204c
Rv0147	mmpL3
Rv0147	Rv0207c
Rv0147	Rv0216
Rv0147	Rv0219
Rv0147	Rv0221
Rv0147	Rv0223c
Rv0147	Rv0224c
Rv0147	Rv0225
Rv0147	php
Rv0147	Rv0232
Rv0147	fabG4
Rv0147	Rv0247c
Rv0147	Rv0248c
Rv0147	nirD
Rv0147	aac
Rv0147	Rv0263c
Rv0147	fadD2
Rv0147	fadE6
Rv0147	Rv0273c
Rv0147	Rv0276
Rv0147	Rv0281
Rv0147	eccA3
Rv0147	eccC3
Rv0147	esxG
Rv0147	eccD3
Rv0147	Rv0293c
Rv0147	tam
Rv0147	Rv0308
Rv0147	Rv0310c
Rv0147	Rv0314c
Rv0147	cyp135A1
Rv0147	Rv0333
Rv0147	Rv0340
Rv0147	Rv0369c
Rv0147	Rv0371c
Rv0147	Rv0373c
Rv0147	Rv0377
Rv0147	Rv0380c
Rv0147	Rv0385
Rv0147	Rv0398c
Rv0147	pta
Rv0147	ackA
Rv0147	mutT3
Rv0147	Rv0420c
Rv0147	Rv0421c
Rv0147	thiC
Rv0147	Rv0434
Rv0147	Rv0435c
Rv0147	rskA
Rv0147	sigK
Rv0147	Rv0448c
Rv0147	echA2
Rv0147	Rv0458
Rv0147	Rv0459
Rv0147	Rv0460
Rv0147	Rv0461
Rv0147	Rv0463
Rv0147	Rv0472c
Rv0147	hbhA
Rv0147	Rv0477
Rv0147	Rv0479c
Rv0147	Rv0480c
Rv0147	Rv0484c
Rv0147	senX3
Rv0147	Rv0497
Rv0147	hemC
Rv0147	Rv0516c
Rv0147	Rv0525
Rv0147	Rv0535
Rv0147	Rv0541c
Rv0147	fadD8
Rv0147	mgtA
Rv0147	grcC1
Rv0147	htpX
Rv0147	Rv0566c
Rv0147	cyp135B1
Rv0147	Rv0575c
Rv0147	Rv0576
Rv0147	Rv0580c
Rv0147	lpqN
Rv0147	mce2C
Rv0147	mce2D
Rv0147	Rv0600c
Rv0147	galK
Rv0147	echA3
Rv0147	nusG
Rv0147	Rv0658c
Rv0147	rpoB
Rv0147	Rv0669c
Rv0147	lpqP
Rv0147	echA4
Rv0147	Rv0686
Rv0147	Rv0695
Rv0147	Rv0697
Rv0147	atsA
Rv0147	Rv0712
Rv0147	Rv0713
Rv0147	Rv0725c
Rv0147	Rv0726c
Rv0147	fucA
Rv0147	Rv0731c
Rv0147	Rv0738
Rv0147	mmsB
Rv0147	Rv0756c
Rv0147	Rv0791c
Rv0147	Rv0825c
Rv0147	kmtR
Rv0147	Rv0830
Rv0147	moaE2
Rv0147	Rv0877
Rv0147	Rv0893c
Rv0147	Rv0909
Rv0147	Rv0958
Rv0147	Rv0965c
Rv0147	accA2
Rv0147	grcC2
Rv0148	ptbB
Rv0148	Rv0161
Rv0148	mce1C
Rv0148	mce1D
Rv0148	Rv0176
Rv0148	Rv0183
Rv0148	Rv0184
Rv0148	Rv0185
Rv0148	zmp1
Rv0148	Rv0199
Rv0148	Rv0200
Rv0148	Rv0201c
Rv0148	mmpL11
Rv0148	Rv0204c
Rv0148	mmpL3
Rv0148	Rv0207c
Rv0148	Rv0216
Rv0148	Rv0219
Rv0148	Rv0221
Rv0148	Rv0223c
Rv0148	Rv0224c
Rv0148	Rv0225
Rv0148	php
Rv0148	Rv0232
Rv0148	fabG4
Rv0148	Rv0247c
Rv0148	Rv0248c
Rv0148	nirD
Rv0148	aac
Rv0148	Rv0263c
Rv0148	fadD2
Rv0148	fadE6
Rv0148	Rv0273c
Rv0148	Rv0276
Rv0148	Rv0281
Rv0148	eccA3
Rv0148	eccC3
Rv0148	esxG
Rv0148	eccD3
Rv0148	Rv0293c
Rv0148	tam
Rv0148	Rv0308
Rv0148	Rv0310c
Rv0148	Rv0314c
Rv0148	cyp135A1
Rv0148	Rv0333
Rv0148	Rv0340
Rv0148	Rv0369c
Rv0148	Rv0371c
Rv0148	Rv0373c
Rv0148	Rv0377
Rv0148	Rv0380c
Rv0148	Rv0385
Rv0148	Rv0398c
Rv0148	pta
Rv0148	ackA
Rv0148	mutT3
Rv0148	Rv0420c
Rv0148	Rv0421c
Rv0148	thiC
Rv0148	Rv0434
Rv0148	Rv0435c
Rv0148	rskA
Rv0148	sigK
Rv0148	Rv0448c
Rv0148	echA2
Rv0148	Rv0458
Rv0148	Rv0459
Rv0148	Rv0460
Rv0148	Rv0461
Rv0148	Rv0463
Rv0148	Rv0472c
Rv0148	hbhA
Rv0148	Rv0477
Rv0148	Rv0479c
Rv0148	Rv0480c
Rv0148	Rv0484c
Rv0148	senX3
Rv0148	Rv0497
Rv0148	hemC
Rv0148	Rv0516c
Rv0148	Rv0525
Rv0148	Rv0535
Rv0148	Rv0541c
Rv0148	fadD8
Rv0148	mgtA
Rv0148	grcC1
Rv0148	htpX
Rv0148	Rv0566c
Rv0148	cyp135B1
Rv0148	Rv0575c
Rv0148	Rv0576
Rv0148	Rv0580c
Rv0148	lpqN
Rv0148	mce2C
Rv0148	mce2D
Rv0148	Rv0600c
Rv0148	galK
Rv0148	echA3
Rv0148	nusG
Rv0148	Rv0658c
Rv0148	rpoB
Rv0148	Rv0669c
Rv0148	lpqP
Rv0148	echA4
Rv0148	Rv0686
Rv0148	Rv0695
Rv0148	Rv0697
Rv0148	atsA
Rv0148	Rv0712
Rv0148	Rv0713
Rv0148	Rv0725c
Rv0148	Rv0726c
Rv0148	fucA
Rv0148	Rv0731c
Rv0148	Rv0738
Rv0148	mmsB
Rv0148	Rv0756c
Rv0148	Rv0791c
Rv0148	Rv0825c
Rv0148	kmtR
Rv0148	Rv0830
Rv0148	moaE2
Rv0148	Rv0877
Rv0148	Rv0893c
Rv0148	Rv0909
Rv0148	Rv0958
Rv0148	Rv0965c
Rv0148	accA2
Rv0148	grcC2
Rv0149	Rv0181c
Rv0149	sigG
Rv0149	nrdB
Rv0149	Rv0235c
Rv0149	Rv0332
Rv0149	dnaK
Rv0149	grpE
Rv0149	Rv0367c
Rv0149	Rv0372c
Rv0149	Rv0374c
Rv0149	purT
Rv0149	Rv0433
Rv0149	deoC
Rv0149	murB
Rv0149	galE1
Rv0149	Rv0502
Rv0149	hemL
Rv0149	ccsA
Rv0149	Rv0569
Rv0149	mce2R
Rv0149	vapB30
Rv0149	Rv0689c
Rv0149	Rv0792c
Rv0149	Rv0852
Rv0149	prrB
Rv0149	pepD
ptbB	Rv0161
ptbB	mce1C
ptbB	mce1D
ptbB	Rv0176
ptbB	Rv0183
ptbB	Rv0184
ptbB	Rv0185
ptbB	zmp1
ptbB	Rv0199
ptbB	Rv0200
ptbB	Rv0201c
ptbB	mmpL11
ptbB	Rv0204c
ptbB	mmpL3
ptbB	Rv0207c
ptbB	Rv0216
ptbB	Rv0219
ptbB	Rv0221
ptbB	Rv0223c
ptbB	Rv0224c
ptbB	Rv0225
ptbB	php
ptbB	Rv0232
ptbB	fabG4
ptbB	Rv0247c
ptbB	Rv0248c
ptbB	nirD
ptbB	aac
ptbB	Rv0263c
ptbB	fadD2
ptbB	fadE6
ptbB	Rv0273c
ptbB	Rv0276
ptbB	Rv0281
ptbB	eccA3
ptbB	eccC3
ptbB	esxG
ptbB	eccD3
ptbB	Rv0293c
ptbB	tam
ptbB	Rv0308
ptbB	Rv0310c
ptbB	Rv0314c
ptbB	cyp135A1
ptbB	Rv0333
ptbB	Rv0340
ptbB	Rv0369c
ptbB	Rv0371c
ptbB	Rv0373c
ptbB	Rv0377
ptbB	Rv0380c
ptbB	Rv0385
ptbB	Rv0398c
ptbB	pta
ptbB	ackA
ptbB	mutT3
ptbB	Rv0420c
ptbB	Rv0421c
ptbB	thiC
ptbB	Rv0434
ptbB	Rv0435c
ptbB	rskA
ptbB	sigK
ptbB	Rv0448c
ptbB	echA2
ptbB	Rv0458
ptbB	Rv0459
ptbB	Rv0460
ptbB	Rv0461
ptbB	Rv0463
ptbB	Rv0472c
ptbB	hbhA
ptbB	Rv0477
ptbB	Rv0479c
ptbB	Rv0480c
ptbB	Rv0484c
ptbB	senX3
ptbB	Rv0497
ptbB	hemC
ptbB	Rv0516c
ptbB	Rv0525
ptbB	Rv0535
ptbB	Rv0541c
ptbB	fadD8
ptbB	mgtA
ptbB	grcC1
ptbB	htpX
ptbB	Rv0566c
ptbB	cyp135B1
ptbB	Rv0575c
ptbB	Rv0576
ptbB	Rv0580c
ptbB	lpqN
ptbB	mce2C
ptbB	mce2D
ptbB	Rv0600c
ptbB	galK
ptbB	echA3
ptbB	nusG
ptbB	Rv0658c
ptbB	rpoB
ptbB	Rv0669c
ptbB	lpqP
ptbB	echA4
ptbB	Rv0686
ptbB	Rv0695
ptbB	Rv0697
ptbB	atsA
ptbB	Rv0712
ptbB	Rv0713
ptbB	Rv0725c
ptbB	Rv0726c
ptbB	fucA
ptbB	Rv0731c
ptbB	Rv0738
ptbB	mmsB
ptbB	Rv0756c
ptbB	Rv0791c
ptbB	Rv0825c
ptbB	kmtR
ptbB	Rv0830
ptbB	moaE2
ptbB	Rv0877
ptbB	Rv0893c
ptbB	Rv0909
ptbB	Rv0958
ptbB	Rv0965c
ptbB	accA2
ptbB	grcC2
fadE2	Rv0158
fadE2	yrbE1B
fadE2	mce1F
fadE2	Rv0238
fadE2	Rv0250c
fadE2	esxH
fadE2	dcd
fadE2	Rv0328
fadE2	hspR
fadE2	Rv0370c
fadE2	Rv0383c
fadE2	ndhA
fadE2	mmpS1
fadE2	mmpS4
fadE2	Rv0481c
fadE2	Rv0487
fadE2	Rv0496
fadE2	mmpS2
fadE2	Rv0518
fadE2	Rv0526
fadE2	Rv0543c
fadE2	Rv0559c
fadE2	Rv0588
fadE2	mce2F
fadE2	mkl
fadE2	mmpS5
fadE2	Rv0680c
fadE2	Rv0681
fadE2	Rv0691c
fadE2	rplC
fadE2	rpmC
fadE2	rplN
pntAa	yrbE1A
pntAa	mce1B
pntAa	Rv0177
pntAa	ilvD
pntAa	Rv0190
pntAa	Rv0192
pntAa	Rv0203
pntAa	echA1
pntAa	Rv0227c
pntAa	fadE5
pntAa	Rv0245
pntAa	Rv0258c
pntAa	Rv0264c
pntAa	Rv0309
pntAa	Rv0313
pntAa	rmlA
pntAa	mmpL1
pntAa	glnH
pntAa	Rv0412c
pntAa	Rv0426c
pntAa	Rv0431
pntAa	mmpL4
pntAa	Rv0455c
pntAa	Rv0464c
pntAa	Rv0474
pntAa	Rv0476
pntAa	Rv0498
pntAa	mmpL2
pntAa	hemA
pntAa	Rv0513
pntAa	Rv0514
pntAa	Rv0530
pntAa	galE2
pntAa	Rv0556
pntAa	yrbE2A
pntAa	mmpL5
pntAa	rpsQ
pntAa	rslA
pntAa	Rv0759c
pntAa	Rv0767c
pntAa	Rv0810c
pntAa	Rv0814c
pntAa	phoT
pntAa	phoY2
pntAa	mog
pntAa	Rv0870c
pntAa	Rv0898c
pntAa	echA6
pntAa	pstB
pntAa	csoR
pntAa	ctpV
pntAa	moaB2
pntAb	pntB
pntAb	Rv0205
pntAb	Rv0249c
pntAb	Rv0260c
pntAb	eccE3
pntAb	aspC
pntAb	lpqJ
pntAb	Rv0428c
pntAb	Rv0443
pntAb	Rv0465c
pntAb	fadB2
pntAb	Rv0494
pntAb	Rv0508
pntAb	cysG
pntAb	Rv0531
pntAb	Rv0547c
pntAb	menB
pntAb	bpoC
pntAb	gpdA1
pntAb	Rv0679c
pntAb	sigL
pntAb	Rv0737
pntAb	mmsA
pntAb	Rv0775
pntAb	Rv0926c
pntB	Rv0205
pntB	Rv0249c
pntB	Rv0260c
pntB	eccE3
pntB	aspC
pntB	lpqJ
pntB	Rv0428c
pntB	Rv0443
pntB	Rv0465c
pntB	fadB2
pntB	Rv0494
pntB	Rv0508
pntB	cysG
pntB	Rv0531
pntB	Rv0547c
pntB	menB
pntB	bpoC
pntB	gpdA1
pntB	Rv0679c
pntB	sigL
pntB	Rv0737
pntB	mmsA
pntB	Rv0775
pntB	Rv0926c
Rv0158	yrbE1B
Rv0158	mce1F
Rv0158	Rv0238
Rv0158	Rv0250c
Rv0158	esxH
Rv0158	dcd
Rv0158	Rv0328
Rv0158	hspR
Rv0158	Rv0370c
Rv0158	Rv0383c
Rv0158	ndhA
Rv0158	mmpS1
Rv0158	mmpS4
Rv0158	Rv0481c
Rv0158	Rv0487
Rv0158	Rv0496
Rv0158	mmpS2
Rv0158	Rv0518
Rv0158	Rv0526
Rv0158	Rv0543c
Rv0158	Rv0559c
Rv0158	Rv0588
Rv0158	mce2F
Rv0158	mkl
Rv0158	mmpS5
Rv0158	Rv0680c
Rv0158	Rv0681
Rv0158	Rv0691c
Rv0158	rplC
Rv0158	rpmC
Rv0158	rplN
Rv0161	mce1C
Rv0161	mce1D
Rv0161	Rv0176
Rv0161	Rv0183
Rv0161	Rv0184
Rv0161	Rv0185
Rv0161	zmp1
Rv0161	Rv0199
Rv0161	Rv0200
Rv0161	Rv0201c
Rv0161	mmpL11
Rv0161	Rv0204c
Rv0161	mmpL3
Rv0161	Rv0207c
Rv0161	Rv0216
Rv0161	Rv0219
Rv0161	Rv0221
Rv0161	Rv0223c
Rv0161	Rv0224c
Rv0161	Rv0225
Rv0161	php
