number_in_list	fold_enrichment	fdr	expected	number_in_reference	pValue	GO_id	GO_label
5	33.954081632653065	4.418019957096567e-05	0.147257700976709	28	5.078183858731686e-07	GO:0044391	ribosomal subunit
5	32.783251231527096	2.581231945529071e-05	0.15251690458302	29	5.933866541446141e-07	GO:1990904	ribonucleoprotein complex
5	30.668202764976957	2.315899629030994e-05	0.163035311795642	31	7.985860789762049e-07	GO:0005840	ribosome
5	27.96218487394958	2.6262216397269512e-05	0.17881292261457502	34	1.207458225161816e-06	GO:0043232	intracellular non-membrane-bounded organelle
5	27.96218487394958	2.100977311781561e-05	0.17881292261457502	34	1.207458225161816e-06	GO:0043228	non-membrane-bounded organelle
4	54.3265306122449	2.34444487832195e-05	0.073628850488354	14	1.6168585367737587e-06	GO:0022626	cytosolic ribosome
5	15.585480093676814	0.00021279647948838152	0.32081141998497303	61	1.7121555820904264e-05	GO:0043229	intracellular organelle
5	15.585480093676814	0.00018619691955233382	0.32081141998497303	61	1.7121555820904264e-05	GO:0043226	organelle
9	4.766812574612017	0.0004349523185406433	1.888054094665665	359	4.4995067435238964e-05	GO:0005622	intracellular
3	47.535714285714285	0.0004694165723322507	0.06311044327573201	12	5.3955927854281696e-05	GO:0015934	large ribosomal subunit
8	4.875457875457875	0.0009568201288123053	1.640871525169046	312	0.00012097725766592361	GO:0005737	cytoplasm
5	9.903273809523808	0.0009780758174302284	0.5048835462058601	96	0.0001349070093007211	GO:0032991	protein-containing complex
6	6.166795366795367	0.002139454398844	0.972952667167543	185	0.00031968858833308786	GO:0005829	cytosol
2	63.38095238095238	0.004451602863593001	0.031555221637866004	6	0.0007163498860954612	GO:0022625	cytosolic large ribosomal subunit
2	47.53571428571429	0.006635364677231001	0.042073628850488	8	0.0011440283926260001	GO:0022627	cytosolic small ribosomal subunit
9	2.871284755512943	0.011023241136954002	3.1344853493613822	596	0.00202726273783	GO:0110165	cellular anatomical entity
9	2.782578397212543	0.012954860177937	3.234410217881292	615	0.0025314094600560003	GO:0005575	cellular_component
12	0.6754630804364371	0.012235145723607002	17.76558978211871	3378	0.0025314094600560003		UNCLASSIFIED
2	23.767857142857146	0.017366873596667002	0.084147257700976	16	0.0037927654981220003	GO:0015935	small ribosomal subunit
